== Large itemsets (min_sup=0.5%)
[A,Asian], 0.5%
[BRONX,B,Chinese], 0.5%
[Tex-Mex], 0.5%
[A,MANHATTAN,French], 0.5%
[A,Mexican,MANHATTAN], 0.5%
[Irish,MANHATTAN], 0.5%
[B,MANHATTAN,Pizza], 0.5%
[Indian,B], 0.5%
[A,Bakery,QUEENS], 0.5%
[C,Japanese], 0.5%
[A,American,STATENISLAND], 0.5%
[A,Indian], 0.5%
[A,Bakery,MANHATTAN], 0.5%
[Greek], 0.5%


==High-confidence association rules (min_conf=55.0%)
[A,French] => [MANHATTAN] (Conf: 81.0%, Supp: 0.5%)
[Ice Cream Gelato Yogurt Ices] => [A] (Conf: 80.5%, Supp: 0.6%)
[French] => [MANHATTAN] (Conf: 79.8%, Supp: 0.9%)
[Donuts] => [A] (Conf: 78.9%, Supp: 1.2%)
[Sandwiches,MANHATTAN] => [A] (Conf: 77.3%, Supp: 0.6%)
[Cafe/Coffee/Tea,MANHATTAN] => [A] (Conf: 73.3%, Supp: 1.3%)
[Hamburgers] => [A] (Conf: 72.9%, Supp: 1.3%)
[Other] => [A] (Conf: 72.0%, Supp: 0.6%)
[Sandwiches] => [A] (Conf: 72.0%, Supp: 1.2%)
[Cafe/Coffee/Tea] => [A] (Conf: 68.5%, Supp: 2.2%)
[American,STATENISLAND] => [A] (Conf: 67.4%, Supp: 0.5%)
[Irish] => [MANHATTAN] (Conf: 66.7%, Supp: 0.5%)
[STATENISLAND] => [A] (Conf: 65.0%, Supp: 2.1%)
[B,Italian] => [MANHATTAN] (Conf: 63.8%, Supp: 0.9%)
[Korean] => [QUEENS] (Conf: 62.7%, Supp: 0.7%)
[Italian] => [MANHATTAN] (Conf: 61.7%, Supp: 2.9%)
[Japanese] => [MANHATTAN] (Conf: 60.3%, Supp: 1.9%)
[B,Japanese] => [MANHATTAN] (Conf: 58.4%, Supp: 0.6%)
[A,Cafe/Coffee/Tea] => [MANHATTAN] (Conf: 58.4%, Supp: 1.3%)
[A,Italian] => [MANHATTAN] (Conf: 58.3%, Supp: 1.4%)
[Pizza,QUEENS] => [A] (Conf: 58.2%, Supp: 0.7%)
[BRONX,American] => [A] (Conf: 57.6%, Supp: 0.9%)
[A,Japanese] => [MANHATTAN] (Conf: 57.4%, Supp: 0.8%)
[MANHATTAN,French] => [A] (Conf: 56.5%, Supp: 0.5%)
[American] => [A] (Conf: 56.2%, Supp: 13.4%)
[American,MANHATTAN] => [A] (Conf: 55.9%, Supp: 7.3%)
[BROOKLYN,American] => [A] (Conf: 55.7%, Supp: 2.5%)
[American,C] => [MANHATTAN] (Conf: 55.7%, Supp: 1.9%)
[French] => [A] (Conf: 55.6%, Supp: 0.6%)
[Thai] => [MANHATTAN] (Conf: 55.5%, Supp: 0.7%)
[Jewish/Kosher] => [BROOKLYN] (Conf: 55.1%, Supp: 0.7%)
